sku,warehouse,quantity,unit_cost,last_restocked
OP-172339-Y,WH-US-02,648,267.79,2025-10-04
EF-010767-Y,WH-EU-01,567,73.67,"October 02, 2025"
AB-589508-U,WH-US-02,502,$180.28,2025-10-20
WX-634052-V,WH-AS-02,957,$344.51,"October 13, 2025"
IJ-259607-C,WH-AS-02,259,500.23,2025-10-10
GH-985539-UV,WH-EU-03,339,188.84,18-10-2025
DEF-709446-U,WH-US-01,371,263.10,2025-10-19
EF-639720-B,WH-AS-03,645,270.92,2025-10-19
MN-716198-U,WH-AS-03,363,47.58,2025-10-25
GH-715825-UV,WH-US-03,609,151.26,10/16/2025
MN-566427-T,WH-US-01,124,273.29,2025-10-01
KL-609792-V,WH-EU-01,288,545.52,10/15/2025
EF-922981-U,WH-EU-02,416,214.71,09/30/2025
KL-733052-X,WH-EU-03,2621,$1018.48,09/28/2025
GHI-255801-RS,WH-US-02,770,219.65,"October 16, 2025"
AB-617886-Z,WH-US-03,1749,468.34,07-10-2025
CD-032244-S,WH-AS-03,1522,$855.46,10-10-2025
GH-985539-UV,WH-US-01,499,194.43,2025-10-14
GH-402124-ST,WH-US-02,283,$114.18,"October 21, 2025"
ST-426800-Z,WH-US-03,242,118.71,10/17/2025
IJ-259607-C,WH-EU-03,423,507.42,2025-09-29
OP-811620-V,WH-AS-02,294,$535.93,10/03/2025
ABC-363479-C,WH-AS-03,177,268.11,"April 23, 2025"
MN-748581-V,WH-EU-01,555,280.14,10/19/2025
GH-399591-V,WH-US-02,517,495.08,10/20/2025
OP-280766-T,WH-EU-03,2777,150.32,10/07/2025
CD-902393-W,WH AS 01,548,489.34,2025-10-26
QR-736911-UV,WH-EU-03,502,744.41,"October 04, 2025"
IJ-451664-T,WH-US-02,507,$32.73,"October 25, 2025"
YZ-284060-UV,WH-AS-03,237,81.28,10/02/2025
UV-654425-W,WH-US-03,339,283.50,10/25/2025
YZ-705314-B,WH-US-03,714,536.44,13-10-2025
UV-292369-T,WH-AS-03,650,541.44,2025-10-25
EF-465656-RS,WH AS 01,5,264.17,2025-10-21
GHI-255801-RS,WH EU 03,835,229.82,2025-10-10
KL-733052-X,WH-US-02,17,557.44,2025-10-05
GH-985539-UV,WH-US-03,594,182.70,10/25/2025
ABC-589153-R,WH-US-02,759,403.64,2025-10-07
KL-925231-X,WH-AS-01,454,$258.44,10-10-2025
GH-064556-X,WH-AS-01,358,987.36,"October 01, 2025"
IJ-535277-Y,WH-EU-01,582,$101.87,10/04/2025
DEF-150811-V,WH-AS-01,1102,453.41,2025-10-19
CD-707073-B,WH-EU-01,415,550.70,23-10-2025
ABC-870634-V,WH-AS-01,622,489.67,24-10-2025
MN-563336-Y,WH-EU-03,"2,669",600.68,30-09-2025
ABC-626380-S,WH-AS-03,602,478.63,2025-10-01
GHI-856662-S,WH-US-01,704,816.58,27-09-2025
GH-377417-ST,WH-US-02,429,527.36,07/11/2025
GH-402124-ST,WH-EU-02,130,114.77,2025-10-12
MN-801581-W,WH-EU-03,206,424.90,03-10-2025
QR-907339-S,WH-US-03,451,285.89,21-10-2025
GH-968096-X,WH-EU-02,91,221.77,2025-10-16
AB-714328-C,WH-EU-03,566,298.60,2025-10-24
EF-639720-B,WH-EU-01,448,286.29,20-10-2025
MN-753470-W,WH-EU-02,"1,265",504.39,25-10-2025
IJ-135628-B,WH-EU-02,106,525.10,11-10-2025
KL-831555-B,WH-US-02,391,435.61,"October 11, 2025"
GHI-528276-UV,WH-EU-01,614,$432.79,"October 16, 2025"
ST-582343-T,WH-US-01,759,335.24,14-10-2025
GHI-505740-U,WH-AS-03,324,$346.91,10/21/2025
CD-902393-W,WH US 03,615,515.17,10/14/2025
AB-701305-ST,WH-US-03,162,452.37,"October 07, 2025"
QR-486100-U,WH-AS-03,655,65.02,"April 28, 2025"
MN-753470-W,WH-US-01,202,509.04,07-10-2025
MN-748581-V,WH-US-03,550,265.87,"October 09, 2025"
QR-806934-B,WH-US-02,339,278.90,10/01/2025
KL-646414-A,WH-US-01,143,$296.48,2025-10-05
EF-624939-S,WH-EU-02,309,138.29,29-09-2025
EF-922981-U,WH-AS-02,470,209.24,"October 26, 2025"
KL-925231-X,WH-EU-01,764,$252.53,"October 08, 2025"
ABC-942435-A,WH-EU-02,342,520.46,15-10-2025
KL-831555-B,WH-EU-01,548,450.87,2025-09-28
GHI-255801-RS,WH-AS-01,160,240.59,2025-10-16
YZ-380580-U,WH-AS-01,678,249.39,10/14/2025
GH-402124-ST,WH-AS-02,339,$113.78,"October 19, 2025"
OP-907604-T,WH-US-02,504,286.75,2025-05-14
ST-883554-B,WH EU 02,99,$234.79,2025-10-03
UV-117970-V,WH-AS-01,383,393.57,"October 22, 2025"
QR-736911-UV,WH-EU-02,"1,831",421.73,10/10/2025
ST-532756-V,WH-US-03,1399,$158.38,"September 28, 2025"
GHI-833291-UV,WH-AS-01,690,$280.78,"October 21, 2025"
WX-299830-T,WH-EU-03,567,347.86,"September 30, 2025"
OP-718870-W,WH-EU-02,402,89.68,06/10/2025
GH-402124-ST,WH EU 01,119,105.68,"October 26, 2025"
AB-701305-ST,WH-EU-01,652,451.40,07-10-2025
MN-531458-V,WH-EU-01,330,282.89,2025-10-10
UV-840482-ST,WH-EU-02,711,322.10,10/20/2025
MN-716198-U,WH-US-03,333,$94.12,10/13/2025
MN-382913-X,WH-AS-03,1618,276.85,21-10-2025
CD-241062-S,WH-EU-02,411,440.62,2025-10-10
ST-582343-T,WH-AS-02,282,$345.33,10/21/2025
DEF-555816-V,WH-AS-02,554,441.89,2025-10-08
KL-398382-R,WH-US-03,1016,193.62,2025-10-21
WX-606397-U,WH-AS-02,1304,94.04,01-10-2025
KL-566579-RS,WH-AS-03,173,135.28,01-10-2025
MN-244962-Z,WH-EU-03,615,140.24,29-09-2025
KL-831555-B,WH US 03,1135,436.30,20-10-2025
CD-902393-W,WH-US-03,583,530.99,10/15/2025
GH-098251-X,WH-AS-03,1162,277.58,10-10-2025
GH-920641-V,WH-EU-01,845,147.17,09/27/2025
UV-488575-Y,WH-US-01,377,334.33,"October 24, 2025"
QR-806934-B,WH-US-02,350,$264.85,2025-09-30
YZ-279085-UV,WH-AS-02,168,$175.12,2025-10-21
UV-458592-A,WH-AS-02,322,$417.57,27-09-2025
EF-995967-B,WH-US-01,517,$191.75,2025-05-07
QR-806934-B,WH-AS-03,119,$266.23,"October 24, 2025"
UV-985861-R,WH-AS-01,257,188.94,"October 26, 2025"
UV-458592-A,WH-EU-03,820,413.10,2025-10-08
CD-114668-A,WH-AS-02,92,169.51,"October 02, 2025"
AB-589508-U,WH-EU-02,16,183.84,2025-10-09
CD-324232-W,WH-US-01,919,$298.52,"September 28, 2025"
IJ-259607-C,WH-US-01,449,535.58,08-10-2025
UV-840482-ST,WH-AS-01,734,$310.44,19-10-2025
YZ-281746-S,WH-EU-02,372,311.40,10/03/2025
WX-171555-W,WH-AS-02,294,203.12,10/05/2025
WX-611805-Z,WH-US-01,666,$579.59,19-10-2025
QR-702474-Y,WH-US-02,"1,008",$160.76,04-10-2025
CD-053578-A,WH-US-03,429,275.94,2025-10-26
GHI-833291-UV,WH-EU-01,400,$276.80,2025-10-08
YZ-281746-S,WH-AS-02,100,334.78,10/08/2025
GHI-021422-5,WH-US-01,504,$189.97,2025-10-04
KL-733052-X,WH-EU-02,1721,565.77,10-10-2025
GH-402124-ST,WH-US-02,373,$109.34,23-10-2025
MN-801581-W,WH-AS-02,381,$452.94,"September 27, 2025"
EF-620176-X,WH-US-02,240,63.54,12-10-2025
YZ-380580-U,WH-US-02,154,256.46,10/05/2025
DEF-875244-Z,WH-AS-03,251,$578.12,"October 10, 2025"
EF-579856-V,WH-AS-03,289,250.48,"October 03, 2025"
GHI-528276-UV,WH-AS-03,592,767.45,11-10-2025
GH-161265-B,WH-EU-01,4065,483.56,10/10/2025
WX-611805-Z,WH-EU-02,158,$345.05,25-10-2025
KL-533342-UV,WH-US-02,393,32.43,2025-10-17
QR-530959-Y,WH-AS-03,742,$562.15,06-10-2025
DEF-300105-X,WH-EU-02,483,$168.50,2025-10-26
QR-486100-U,WH-US-03,235,59.87,10/08/2025
EF-090814-C,WH-AS-03,417,229.87,2025-10-02
GH-968096-X,WH-AS-01,2537,235.97,2025-10-02
QR-784300-A,WH-EU-01,542,265.93,10/16/2025
QR-702474-Y,WH-US-01,183,$164.13,10/04/2025
CD-004717-W,WH-AS-01,2580,153.92,2025-10-07
AB-189073-C,WH-US-01,579,207.44,10/13/2025
QR-525902-RS,WH-EU-03,541,516.57,2025-10-08
GHI-528276-UV,WH-EU-02,300,$425.49,10/07/2025
GH-161265-B,WH-US-01,420,250.86,10/24/2025
KL-533342-UV,WH-AS-03,448,$54.78,"October 07, 2025"
MN-801581-W,WH-US-01,715,433.68,"October 14, 2025"
ST-582343-T,WH-AS-03,461,186.62,"September 29, 2025"
GHI-255801-RS,WH-AS-03,602,232.25,10/19/2025
GHI-505740-U,WH-AS-01,179,$332.79,"October 15, 2025"
CD-114668-A,WH-AS-01,529,169.26,11-10-2025
0P-618024-U,WH-US-02,336,$319.17,05/12/2025
ST-642390-RS,WH-AS-01,397,$434.69,28-09-2025
EF-465656-RS,WH-EU-01,24,$244.81,10/16/2025
MN-563336-Y,WH-US-03,967,509.96,2025-06-21
EF-893697-T,WH-US-03,511,$561.81,2025-10-10
UV-251280-V,WH-EU-03,452,168.60,2025-10-18
OP-718870-W,WH-US-02,324,89.62,"April 24, 2025"
OP-210267-ST,WH-EU-03,216,$394.84,2025-10-12
MN-451770-RS,WH-AS-02,440,233.46,"October 05, 2025"
ABC-232148-Y,WH-EU-01,657,809.60,10/25/2025
EF-465656-RS,WH-EU-01,821,267.60,"October 10, 2025"
MN-268095-R,WH-US-01,880,397.37,27-09-2025
KL-533342-UV,WH-EU-03,4,54.80,10-10-2025
GHI-847721-X,WH-US-03,453,391.53,"October 11, 2025"
GH-404906-UV,WH-AS-03,609,338.82,10/12/2025
WX-922406-ST,WH-AS-03,337,266.41,10/16/2025
UV-251280-V,WH-US-02,486,$558.62,21-10-2025
QR-950314-UV,WH-EU-01,445,128.82,29-06-2025
IJ-535277-Y,WH-AS-03,904,$99.50,06/20/2025
CD-766179-Y,WH-AS-03,1,$423.42,23-10-2025
YZ-705314-B,WH-EU-01,782,566.03,2025-10-24
YZ-138235-B,WH-EU-02,269,$152.96,"October 01, 2025"
ST-532756-V,WH-US-01,641,151.19,24-10-2025
UV-292369-T,WH-AS-01,239,695.00,17-10-2025
GH-404906-UV,WH-EU-01,1879,$342.98,"October 11, 2025"
UV-840482-ST,WH-AS-03,344,318.25,07-10-2025
GH-913804-B,WH-AS-03,820,96.20,24-10-2025
WX-611805-Z,WH-AS-01,222,$593.85,2025-07-08
MN-451770-RS,WH-EU-03,234,238.45,10/26/2025
IJ-669061-V,WH-EU-03,440,$390.91,04-10-2025
GH-054045-B,WH-US-01,579,499.26,"October 22, 2025"
ST-480434-W,WH-EU-02,317,$272.24,13-10-2025
CD-943590-W,WH-AS-02,841,$399.02,"October 22, 2025"
UV-985861-R,WH-EU-02,322,186.19,"October 26, 2025"
ST-532756-V,WH US 01,928,153.18,2025-10-18
AB-701305-ST,WH-EU-02,902,820.96,"October 18, 2025"
EF-793495-R,WH-AS-03,378,162.35,2025-10-18
CD-845151-W,WH AS 01,994,99.38,"October 06, 2025"
OP-234752-R,WH-AS-01,316,550.14,"October 24, 2025"
GHI-528276-UV,WH-AS-03,737,714.32,11-10-2025
GH-399591-V,WH-US-02,1322,$535.02,10/13/2025
CD-901300-Y,WH-AS-02,223,310.92,09/28/2025
MN-441869-B,WH-EU-03,638,482.92,10/08/2025
YZ-138235-B,WH-EU-02,471,148.83,2025-10-22
KL-398382-R,WH-AS-03,590,207.43,24-10-2025
DEF-875244-Z,WH-US-03,302,528.81,"June 04, 2025"
GHI-505740-U,WH-EU-01,3614,202.45,"October 10, 2025"
MN-566427-T,WH-US-03,3259,$289.71,09-10-2025
GHI-021422-S,WH-EU-02,349,203.85,"October 22, 2025"
GH-098251-X,WH-AS-02,320,280.48,2025-10-21
QR-849749-ST,WH-AS-03,554,91.96,10/23/2025
CD-650468-S,WH-AS-03,"2,356",56.89,"October 12, 2025"
UV-458592-A,WH-US-03,319,445.86,"October 24, 2025"
OP-811620-V,WH-US-03,471,491.90,04-10-2025
YZ-401156-A,WH-US-01,126,172.24,2025-10-04
EF-639720-B,WH-EU-03,313,274.81,"September 28, 2025"
KL-278932-Z,WH-US-01,256,506.00,"October 08, 2025"
GH-913804-B,WH-US-02,359,$89.38,06/05/2025
UV-117970-V,WH-AS-01,101,430.54,2025-10-16
IJ-535277-Y,WH-AS-03,839,102.80,05/28/2025
KL-778236-Y,WH-US-01,1618,$186.49,2025-10-10
MN-382913-X,WH-EU-01,577,281.10,10/12/2025
1J-259607-C,WH-EU-03,227,512.06,"October 25, 2025"
IJ-669061-V,WH-US-03,285,765.77,09/28/2025
ABC-490710-ST,WH-EU-01,98,274.54,10/14/2025
ABC-651810-C,WH-US-01,284,18.75,08-10-2025
WX-611805-Z,WH-AS-01,1270,343.04,10/22/2025
KL-831555-B,WH-US-02,401,422.20,"October 19, 2025"
GH-161265-B,WH-EU-01,"1,084",258.49,09/27/2025
GH-064556-X,WH-US-02,326,577.13,"October 12, 2025"
GH-404906-UV,WH-US-02,523,330.13,2025-10-14
ABC-589153-R,WH-AS-02,173,614.67,2025-10-02
EF-793495-R,WH-AS-03,407,$520.01,10/18/2025
OP-210267-ST,WH-EU-01,506,$751.14,"October 04, 2025"
OP-718870-W,WH-US-01,578,88.72,2025-10-11
ABC-363479-C,WH-US-02,5,$271.22,20-10-2025
GH-377417-ST,WH-EU-03,457,490.20,2025-10-24
CD-324232-W,WH-US-02,1026,$316.87,2025-10-10
ABC-232148-Y,WH-EU-02,186,469.14,2025-10-13
GH-064556-X,WH-AS-01,457,585.40,10/04/2025
IJ-669061-V,WH-AS-03,591,397.24,10/13/2025
OP-068136-W,WH-EU-01,67,498.04,2025-10-13
YZ-705314-B,WH-US-03,737,$548.29,"October 22, 2025"
DEF-875244-Z,WH-US-01,495,576.36,2025-10-03
OP-811620-V,WH-AS-01,561,536.05,21-10-2025
GH-064556-X,WH-AS-03,554,1040.69,09/30/2025
MN-531458-V,WH-AS-01,757,277.35,12-10-2025
EF-995967-B,WH-EU-02,552,192.13,18-10-2025
IJ-451664-T,WH-AS-03,369,$33.99,09/27/2025
IJ-971733-UV,WH EU 02,373,$250.08,12-10-2025
MN-161263-W,WH-US-01,381,$93.66,30-09-2025
OP-921659-A,WH-AS-03,384,499.40,2025-10-25
DEF-367643-V,WH-AS-02,174,358.42,"October 22, 2025"
GH-755717-UV,WH-AS-03,466,211.63,2025-09-28
EF-090814-C,WH-AS-02,142,235.39,28-09-2025
GHI-415850-UV,WH-US-01,505,424.56,26-10-2025
KL-060642-Z,WH-AS-02,318,15.67,10/25/2025
ABC-490710-ST,WH-US-03,877,488.29,06/30/2025
GH-755717-UV,WH US 03,327,214.96,2025-10-04
ABC-166840-Y,WH-AS-01,259,143.19,"October 22, 2025"
EF-995967-B,WH-US-01,504,202.05,"September 29, 2025"
ST-883554-B,WH-US-03,331,226.77,2025-06-03
AB-758168-UV,WH-EU-03,837,$193.33,10/12/2025
MN-716198-U,WH-AS-02,141,75.89,10/23/2025
QR-530959-Y,WH-EU-01,75,$542.19,02-10-2025
KL-691855-S,WH-AS-01,295,432.51,2025-10-21
UV-821391-UV,WH-US-02,373,518.79,2025-10-15
IJ-971733-UV,WH-EU-03,325,$249.15,2025-10-06
AB-098793-UV,WH-AS-02,223,117.01,"September 28, 2025"
QR-486100-U,WH-US-03,1201,$61.55,14-10-2025
MN-703258-C,WH-US-01,726,463.12,"October 08, 2025"
EF-540131-U,WH-AS-01,587,291.96,15-10-2025
GH-027225-C,WH-US-03,764,164.48,2025-10-02
IJ-971733-UV,WH-AS-01,392,$236.06,11-10-2025
DEF-709446-U,WH-US-03,164,147.37,13-10-2025
QR-806934-B,WH-EU-02,921,$271.14,"October 23, 2025"
IJ-573092-R,WH-US-02,266,$458.15,"October 04, 2025"
CD-097781-B,WH-AS-02,301,343.42,"October 24, 2025"
GHI-847721-X,WH-AS-01,366,377.56,2025-04-16
ST-229275-R,WH-US-03,525,252.23,2025-10-25
EF-995967-B,WH-US-01,382,$193.76,10/07/2025
CD-097781-B,WH-EU-03,415,351.10,"October 17, 2025"
OP-068136-W,WH-US-02,314,501.53,08-10-2025
OP-921659-A,WH-US-01,201,191.59,03-10-2025
KL-778236-Y,WH-AS-03,623,286.47,10/02/2025
KL-609792-V,WH-US-03,11,526.54,"October 01, 2025"
GH-079898-UV,WH-US-03,731,$451.67,10/07/2025
ABC-232148-Y,WH-US-03,420,461.03,"October 07, 2025"
MN-566427-T,WH-AS-02,118,$278.35,"October 20, 2025"
EF-465656-RS,WH EU 01,887,247.29,05-10-2025
AB-629038-W,WH-EU-01,366,248.42,04-10-2025
IJ-286577-V,WH-US-01,834,325.47,10/11/2025
ABC-690305-A,WH-EU-02,161,29.96,09/30/2025
GHI-163316-U,WH-AS-01,483,$531.29,2025-10-19
EF-540131-U,WH-AS-01,458,458.20,24-10-2025
ST-229275-R,WH-AS-02,1347,$251.79,"October 03, 2025"
UV-840482-ST,WH EU 01,718,$320.82,2025-10-20
CD-241174-ST,WH-US-01,364,$290.36,10/04/2025
CD-241174-ST,WH-EU-02,583,266.74,23-10-2025
UV-821391-UV,WH-AS-02,299,$501.76,09-10-2025
GHI-528276-UV,WH-US-03,443,426.87,10/08/2025
GH-054045-B,WH-AS-03,209,$484.36,10/23/2025
MN-801581-W,WH-US-02,12,461.02,09/28/2025
MN-801581-W,WH-AS-02,258,449.85,"October 21, 2025"
MN-451770-RS,WH-US-02,554,231.89,26-10-2025
MN-958492-A,WH-US-02,961,192.28,2025-10-03
DEF-555816-V,WH-EU-01,761,787.51,08-10-2025
CD-650468-S,WH-US-01,850,38.09,09/29/2025
EF-893697-T,WH-AS-02,243,$553.26,"October 18, 2025"
QR-702474-Y,WH-US-01,183,$164.13,10/04/2025
MN-703258-C,WH-EU-03,378,$477.39,10/07/2025
IJ-669061-V,WH-US-03,398,392.49,2025-10-16
OP-175389-X,WH-EU-01,439,$164.48,2025-06-01
OP-907604-T,WH-AS-03,99,295.22,05/07/2025
GH-404906-UV,WH US 03,354,320.76,"September 27, 2025"
GH-779480-Z,WH-US-03,564,283.01,10/18/2025
AB-617886-Z,WH-EU-02,13,502.48,10-10-2025
AB-701305-ST,WH-EU-03,750,$460.84,10/03/2025
GH-161265-B,WH-US-02,450,$421.93,"October 25, 2025"
IJ-278312-S,WH-EU-01,438,346.64,09/29/2025
AB-319635-V,WH-AS-01,574,$142.76,2025-10-09
AB-319635-V,WH-EU-03,577,145.34,10/21/2025
CD-785309-W,WH-AS-01,241,806.79,2025-10-09
ABC-626380-S,WH-US-02,466,504.11,10/09/2025
ABC-651810-C,WH-US-03,369,$14.19,27-09-2025
QR-950314-UV,WH-EU-01,463,126.72,24-10-2025
AB-189073-C,WH-AS-03,407,$221.57,10/20/2025
KL-566579-R5,WH-EU-03,1045,124.32,"October 11, 2025"
IJ-259607-C,WH-EU-01,603,496.52,2025-10-07
UV-251280-V,WH-EU-03,382,361.67,10/06/2025
ABC-942435-A,WH-US-01,554,499.14,2025-10-12
IJ-979593-W,WH-US-02,934,$154.67,05-10-2025
ST-532756-V,WH-US-03,424,$159.23,"October 23, 2025"
CD-766179-Y,WH-AS-02,178,435.23,"October 23, 2025"
OP-068136-W,WH-AS-03,809,$521.66,10/03/2025
MN-716198-U,WH-US-01,315,48.15,14-10-2025
QR-530959-Y,WH-AS-02,276,529.87,2025-10-01
KL-398382-R,WH-AS-02,209,207.90,10/17/2025
OP-921659-A,WH-EU-02,1286,$458.30,12-10-2025
QR-530959-Y,WH-US-01,399,560.81,10/17/2025
ST-883554-B,WH-AS-02,219,$219.37,27-09-2025
UV-292369-T,WH-EU-03,"1,047",361.47,10/15/2025
ST-252083-R,WH-EU-01,297,47.81,10/10/2025
OP-280766-T,WH-US-01,132,$101.80,"October 18, 2025"
UV-292369-T,WH-AS-01,270,$355.61,"October 14, 2025"
IJ-669061-V,WH-US-03,285,765.77,09/28/2025
KL-561086-C,WH-EU-03,615,313.66,2025-10-26
UV-821391-UV,WH-EU-02,377,528.58,"October 07, 2025"
GH-913804-B,WH-AS-03,3724,96.84,2025-10-04
GH-377417-ST,WH-US-01,278,524.66,02-10-2025
CD-650468-S,WH-AS-02,196,$34.91,"October 21, 2025"
YZ-380580-U,WH-EU-03,203,$251.84,09/27/2025
MN-801581-W,WH-EU-03,233,431.87,2025-09-29
ST-532756-V,WH-EU-02,162,156.44,"September 28, 2025"
GH-913804-B,WH-AS-02,320,182.74,2025-10-06
GH-161265-B,WH-AS-01,603,$262.46,2025-10-11
QR-950314-UV,WH-AS-01,652,$121.12,2025-10-03
DEF-875244-Z,WH-US-01,406,573.00,11-10-2025
CD-004717-W,WH-AS-02,379,155.42,"October 24, 2025"
QR-784300-A,WH-AS-01,451,$245.84,13-10-2025
GH-098251-X,WH-US-01,2179,263.85,10/09/2025
MN-748581-V,WH-EU-02,188,$292.59,12-10-2025
UV-840482-ST,WH-AS-02,227,315.37,2025-10-12
QR-806934-B,WH-AS-03,356,288.06,2025-10-14
GH-779480-Z,WH-US-02,632,511.47,10/02/2025
OP-921659-A,WH-EU-03,382,$479.91,23-10-2025
ABC-842204-B,WH-US-01,210,$273.53,24-10-2025
KL-778236-Y,WH-US-01,131,$175.40,10/08/2025
CD-097781-B,WH-AS-01,611,660.79,"October 09, 2025"
CD-650468-S,WH-US-01,242,64.00,10/01/2025
IJ-278312-S,WH-US-03,725,344.98,10/04/2025
WX-171555-W,WH-AS-03,1916,139.11,2025-09-28
GH-985539-UV,WH-AS-02,170,188.63,2025-10-19
QR-257787-U,WH-EU-03,645,403.51,24-10-2025
ST-252083-R,WH-EU-01,295,47.99,10/10/2025
MN-563336-Y,WH-EU-01,528,333.12,09/30/2025
GH-064556-X,WH-AS-01,354,553.59,10/12/2025
ST-480434-W,WH-US-03,487,$263.32,2025-10-10
WX-922406-ST,WH-US-02,261,285.48,"October 20, 2025"
UV-821391-UV,WH-EU-02,"1,157",$517.00,10/20/2025
DEF-300105-X,WH-EU-01,490,$166.67,2025-10-01
KL-398382-R,WH-US-01,511,210.73,10/21/2025
CD-650468-S,WH-US-01,"1,029",53.68,"October 08, 2025"
GHI-993842-Z,WH-AS-03,169,25.03,"September 28, 2025"
YZ-284060-UV,WH-AS-02,1164,83.76,09/30/2025
EF-995967-B,WH-US-01,487,191.90,03-10-2025
ST-532756-V,WH-EU-01,282,146.13,10/23/2025
DEF-875244-Z,WH-AS-01,534,$533.47,"September 29, 2025"
OP-811620-V,WH-US-01,574,491.94,30-09-2025
ABC-166840-Y,WH-US-03,251,250.12,"October 06, 2025"
IJ-135628-B,WH-AS-03,"1,480",541.11,"October 08, 2025"
GH-261735-U,WH-US-02,284,531.62,2025-10-23
AB-796667-RS,WH-EU-01,339,$56.54,06-10-2025
GHI-415850-UV,WH-US-01,505,$435.55,26-10-2025
CD-845151-W,WH-EU-03,"1,522",$318.64,10/21/2025
ABC-626380-S,WH-AS-01,313,489.02,"October 15, 2025"
IJ-286577-V,WH-AS-01,317,327.67,"September 27, 2025"
YZ-947279-R,WH-US-02,418,100.94,2025-10-22
YZ-705314-B,WH-US-03,509,550.08,10/03/2025
CD-032244-S,WH-EU-02,295,275.25,15-10-2025
CD-241174-ST,WH AS 02,336,542.64,2025-10-15
IJ-286577-V,WH-EU-03,1710,351.65,10/13/2025
ST-426800-Z,WH-EU-02,471,124.89,12-10-2025
IJ-773246-S,WH-AS-03,591,364.61,10/23/2025
IJ-971733-UV,WH US 03,764,256.26,2025-10-03
CD-902393-W,WH-EU-01,323,$497.28,13-10-2025
IJ-773246-S,WH US 03,255,345.48,"June 23, 2025"
MN-244962-Z,WH-US-01,412,138.26,05/14/2025
GH-399591-V,WH-US-02,3,$516.98,2025-10-11
ABC-363479-C,WH-EU-03,232,143.83,21-05-2025
ABC-589153-R,WH-AS-03,993,597.39,"September 30, 2025"
MN-721892-B,WH-AS-01,346,228.57,"October 19, 2025"
UV-654425-W,WH-EU-01,1573,291.09,"October 16, 2025"
AB-617886-Z,WH-US-03,87,469.85,12-10-2025
MN-716198-U,WH-EU-02,238,48.13,2025-10-06
GH-404906-UV,WH-AS-03,447,348.13,"October 22, 2025"
QR-849749-ST,WH-AS-03,730,99.32,"October 20, 2025"
AB-758168-UV,WH-EU-03,"2,997",$207.03,2025-10-16
DEF-300105-X,WH-US-02,395,$308.46,25-10-2025
AB-758168-UV,WH-US-01,745,199.91,09/28/2025
OP-718870-W,WH AS 01,2228,88.03,10/13/2025
DEF-709446-U,WH-EU-02,1230,153.95,29-09-2025
AB-589508-U,WH-US-02,16,$197.99,"October 22, 2025"
DEF-300105-X,WH-US-02,495,159.99,21-10-2025
WX-299830-T,WH-AS-01,338,339.86,10/07/2025
YZ-947279-R,WH-AS-03,70,$269.25,10/15/2025
QR-806934-B,WH-AS-01,648,260.28,"October 12, 2025"
QR-736911-UV,WH-AS-03,447,394.22,2025-10-17
KL-646414-A,WH-AS-01,242,306.45,"October 18, 2025"
OP-175389-X,WH-EU-02,792,$162.43,10/12/2025
GH-779480-Z,WH-US-03,703,257.46,10/18/2025
ST-229275-R,WH-EU-01,484,239.77,10/18/2025
MN-244962-Z,WH-AS-01,257,47.09,"October 05, 2025"
UV-654425-W,WH-US-03,"1,806",516.84,19-06-2025
GH-755717-UV,WH-AS-03,414,$207.23,10/01/2025
QR-806934-B,WH-EU-02,342,$495.74,15-04-2025
EF-465656-RS,WH-US-03,620,253.34,10/17/2025
ST-978017-B,WH-EU-03,44,105.79,2025-10-26
GH-985539-UV,WH-AS-02,381,301.33,10/23/2025
DEF-875244-Z,WH-US-02,437,573.85,11-10-2025
ST-480434-W,WH-EU-03,2849,$291.75,2025-10-09
GH-779480-Z,WH-AS-02,447,580.32,"September 29, 2025"
MN-721892-B,WH-EU-03,6,218.37,2025-10-14
YZ-284060-UV,WH-AS-01,407,81.21,10/12/2025
CD-053578-A,WH-US-02,242,265.17,09/30/2025
UV-223955-B,WH AS 01,7,$457.84,"October 21, 2025"
YZ-711219-C,WH-US-02,504,316.46,10/23/2025
WX-606397-U,WH-US-01,384,164.52,"October 04, 2025"
MN-748581-V,WH-AS-01,519,285.27,07/17/2025
IJ-135628-B,WH-AS-02,355,569.62,"October 09, 2025"
EF-639720-B,WH-US-03,2156,262.98,"October 11, 2025"
ST-252083-R,WH-US-03,20,46.20,2025-10-17
UV-840482-ST,WH-EU-02,3,112.83,14-10-2025
YZ-138235-B,WH-AS-03,379,141.95,09/28/2025
DEF-127882-U,WH-AS-03,713,222.46,14-10-2025
KL-831555-B,WH-AS-03,353,452.20,2025-10-24
MN-566427-T,WH-EU-01,417,274.81,30-09-2025
QR-907339-S,WH-US-01,495,$261.68,"October 02, 2025"
AB-589508-U,WH-AS-03,448,$193.01,02-10-2025
OP-210267-ST,WH-EU-03,357,368.76,08-10-2025
ST-978017-B,WH-EU-02,192,$100.47,2025-10-06
YZ-279085-UV,WH-EU-02,359,522.89,10/19/2025
AB-319635-V,WH-US-02,360,$141.74,2025-10-17
GH-261735-U,WH-US-02,220,540.09,09/29/2025
GH-161265-B,WH-AS-01,420,$257.98,30-09-2025
AB-589508-U,WH-US-02,669,196.88,25-10-2025
QR-849749-ST,WH-EU-02,347,$91.92,10/12/2025
KL-060642-Z,WH-AS-01,8,17.13,"October 21, 2025"
GH-371858-RS,WH-AS-03,775,$392.63,29-09-2025
OP-172339-Y,WH-AS-01,420,546.05,06-10-2025
